iteration 284 performed, best fitness : 1349.83
iteration 285 performed, best fitness : 1331.58
iteration 286 performed, best fitness : 1356.54
iteration 287 performed, best fitness : 1353.83
iteration 288 performed, best fitness : 1371.53
iteration 289 performed, best fitness : 1362.28
iteration 290 performed, best fitness : 1355.66
iteration 291 performed, best fitness : 1364.06
iteration 292 performed, best fitness : 1367.04
iteration 293 performed, best fitness : 1351.1
iteration 294 performed, best fitness : 1353.13
iteration 295 performed, best fitness : 1377.34
iteration 296 performed, best fitness : 1366.16
iteration 297 performed, best fitness : 1360.94
iteration 298 performed, best fitness : 1376.42
iteration 299 performed, best fitness : 1375.92
iteration 300 performed, best fitness : 1377.33
iteration 301 performed, best fitness : 1366.13
iteration 302 performed, best fitness : 1377.14
iteration 303 performed, best fitness : 1377.4
iteration 304 performed, best fitness : 1377.47
iteration 305 performed, best fitness : 1377.01
iteration 306 performed, best fitness : 1377.43
iteration 307 performed, best fitness : 1377.13
iteration 308 performed, best fitness : 1377.15
iteration 309 performed, best fitness : 1378.16
iteration 310 performed, best fitness : 1377.62
iteration 311 performed, best fitness : 1377.4
iteration 312 performed, best fitness : 1378.03
iteration 313 performed, best fitness : 1377.55
iteration 314 performed, best fitness : 1377.8
iteration 315 performed, best fitness : 1378.07
iteration 316 performed, best fitness : 1378.33
iteration 317 performed, best fitness : 1378.57
iteration 318 performed, best fitness : 1377.3
iteration 319 performed, best fitness : 1378.54
iteration 320 performed, best fitness : 1378.28
iteration 321 performed, best fitness : 1378.98
iteration 322 performed, best fitness : 1379.23
iteration 323 performed, best fitness : 1379.22
iteration 324 performed, best fitness : 1378.35
iteration 325 performed, best fitness : 1379.01
iteration 326 performed, best fitness : 1379.01
iteration 327 performed, best fitness : 1377.6
iteration 328 performed, best fitness : 1379.52
iteration 329 performed, best fitness : 1378.05
iteration 330 performed, best fitness : 1379.62
iteration 331 performed, best fitness : 1378.96
iteration 332 performed, best fitness : 1378.11
iteration 333 performed, best fitness : 1377.61
iteration 334 performed, best fitness : 1378.3
iteration 335 performed, best fitness : 1378.13
iteration 336 performed, best fitness : 1377.18
iteration 337 performed, best fitness : 1377.4
iteration 338 performed, best fitness : 1377.36
iteration 339 performed, best fitness : 1377.42
iteration 340 performed, best fitness : 1378.48
iteration 341 performed, best fitness : 1378.31
iteration 342 performed, best fitness : 1378.89
iteration 343 performed, best fitness : 1379
iteration 344 performed, best fitness : 1379.04
iteration 345 performed, best fitness : 1378.14
iteration 346 performed, best fitness : 1378.11
iteration 347 performed, best fitness : 1378.15
iteration 348 performed, best fitness : 1378.18
iteration 349 performed, best fitness : 1378.58
iteration 350 performed, best fitness : 1379.14
iteration 351 performed, best fitness : 1379.37
iteration 352 performed, best fitness : 1379.01
iteration 353 performed, best fitness : 1379.37
iteration 354 performed, best fitness : 1378.32
iteration 355 performed, best fitness : 1379.37
iteration 356 performed, best fitness : 1378.83
iteration 357 performed, best fitness : 1379.27
iteration 358 performed, best fitness : 1379.31
iteration 359 performed, best fitness : 1379.5
iteration 360 performed, best fitness : 1378.71
iteration 361 performed, best fitness : 1379.79
iteration 362 performed, best fitness : 1379.47
iteration 363 performed, best fitness : 1379.02
iteration 364 performed, best fitness : 1379
iteration 365 performed, best fitness : 1379.9
iteration 366 performed, best fitness : 1379.67
iteration 367 performed, best fitness : 1380.26
iteration 368 performed, best fitness : 1379.13
iteration 369 performed, best fitness : 1378.93
iteration 370 performed, best fitness : 1380.33
iteration 371 performed, best fitness : 1379.44
iteration 372 performed, best fitness : 1379.57
iteration 373 performed, best fitness : 1379.64
iteration 374 performed, best fitness : 1379.82
iteration 375 performed, best fitness : 1380.79
iteration 376 performed, best fitness : 1380.26
iteration 377 performed, best fitness : 1379.72
iteration 378 performed, best fitness : 1380.19
iteration 379 performed, best fitness : 1380.93
iteration 380 performed, best fitness : 1380.39
iteration 381 performed, best fitness : 1379.79
iteration 382 performed, best fitness : 1380.38
iteration 383 performed, best fitness : 1381.67
iteration 384 performed, best fitness : 1380.98
iteration 385 performed, best fitness : 1380.17
