iteration 428 performed, best fitness : 1095.16
iteration 429 performed, best fitness : 1094.84
iteration 430 performed, best fitness : 1094.91
iteration 431 performed, best fitness : 1095.32
iteration 432 performed, best fitness : 1095.02
iteration 433 performed, best fitness : 1095.28
iteration 434 performed, best fitness : 1095.12
iteration 435 performed, best fitness : 1095.4
iteration 436 performed, best fitness : 1094.93
iteration 437 performed, best fitness : 1095.43
iteration 438 performed, best fitness : 1095.46
iteration 439 performed, best fitness : 1095.22
iteration 440 performed, best fitness : 1095.07
iteration 441 performed, best fitness : 1094.83
iteration 442 performed, best fitness : 1095.12
iteration 443 performed, best fitness : 1095.43
iteration 444 performed, best fitness : 1095.29
iteration 445 performed, best fitness : 1095.28
iteration 446 performed, best fitness : 1095.56
iteration 447 performed, best fitness : 1095.65
iteration 448 performed, best fitness : 1095.24
iteration 449 performed, best fitness : 1095.34
iteration 450 performed, best fitness : 1095.64
iteration 451 performed, best fitness : 1095.04
iteration 452 performed, best fitness : 1095.54
iteration 453 performed, best fitness : 1095.57
iteration 454 performed, best fitness : 1095.41
iteration 455 performed, best fitness : 1096.04
iteration 456 performed, best fitness : 1096.03
iteration 457 performed, best fitness : 1095.68
iteration 458 performed, best fitness : 1095.91
iteration 459 performed, best fitness : 1095.74
iteration 460 performed, best fitness : 1095.37
iteration 461 performed, best fitness : 1095.49
iteration 462 performed, best fitness : 1095.48
iteration 463 performed, best fitness : 1095.4
iteration 464 performed, best fitness : 1095.51
iteration 465 performed, best fitness : 1095.87
iteration 466 performed, best fitness : 1095.97
iteration 467 performed, best fitness : 1095.74
iteration 468 performed, best fitness : 1096.47
iteration 469 performed, best fitness : 1096.09
iteration 470 performed, best fitness : 1095.89
iteration 471 performed, best fitness : 1095.6
iteration 472 performed, best fitness : 1095.89
iteration 473 performed, best fitness : 1095.79
iteration 474 performed, best fitness : 1095.8
iteration 475 performed, best fitness : 1096.01
iteration 476 performed, best fitness : 1096.1
iteration 477 performed, best fitness : 1096.22
iteration 478 performed, best fitness : 1096.26
iteration 479 performed, best fitness : 1096.49
iteration 480 performed, best fitness : 1096.45
iteration 481 performed, best fitness : 1096.21
iteration 482 performed, best fitness : 1096.38
iteration 483 performed, best fitness : 1096.02
iteration 484 performed, best fitness : 1096.42
iteration 485 performed, best fitness : 1096.22
iteration 486 performed, best fitness : 1096.35
iteration 487 performed, best fitness : 1096.21
iteration 488 performed, best fitness : 1096.53
iteration 489 performed, best fitness : 1095.92
iteration 490 performed, best fitness : 1096.38
iteration 491 performed, best fitness : 1096.14
iteration 492 performed, best fitness : 1095.97
iteration 493 performed, best fitness : 1096.06
iteration 494 performed, best fitness : 1096.16
iteration 495 performed, best fitness : 1096.01
iteration 496 performed, best fitness : 1096.19
iteration 497 performed, best fitness : 1096.15
iteration 498 performed, best fitness : 1096.16
iteration 499 performed, best fitness : 1096.12
iteration 500 performed, best fitness : 1096.2
iteration 501 performed, best fitness : 1096.51
iteration 502 performed, best fitness : 1096.29
iteration 503 performed, best fitness : 1096.19
iteration 504 performed, best fitness : 1096.28
iteration 505 performed, best fitness : 1096.2
iteration 506 performed, best fitness : 1096.56
iteration 507 performed, best fitness : 1096.22
iteration 508 performed, best fitness : 1096.55
iteration 509 performed, best fitness : 1096.43
iteration 510 performed, best fitness : 1095.98
iteration 511 performed, best fitness : 1096.22
iteration 512 performed, best fitness : 1096.31
iteration 513 performed, best fitness : 1096.21
iteration 514 performed, best fitness : 1096.16
iteration 515 performed, best fitness : 1096.39
iteration 516 performed, best fitness : 1096.36
iteration 517 performed, best fitness : 1096.41
iteration 518 performed, best fitness : 1096.46
iteration 519 performed, best fitness : 1096.35
iteration 520 performed, best fitness : 1096.47
iteration 521 performed, best fitness : 1096.22
iteration 522 performed, best fitness : 1096.21
iteration 523 performed, best fitness : 1096.35
iteration 524 performed, best fitness : 1096.31
iteration 525 performed, best fitness : 1096.85
iteration 526 performed, best fitness : 1096.26
iteration 527 performed, best fitness : 1096.69
iteration 528 performed, best fitness : 1096.37
iteration 529 performed, best fitness : 1096.12
iteration 530 performed, best fitness : 1096.29
iteration 531 performed, best fitness : 1096.56
iteration 532 performed, best fitness : 1096.32
iteration 533 performed, best fitness : 1096.37
iteration 534 performed, best fitness : 1096.41
iteration 535 performed, best fitness : 1096.46
iteration 536 performed, best fitness : 1096.46
iteration 537 performed, best fitness : 1096.53
iteration 538 performed, best fitness : 1096.67
iteration 539 performed, best fitness : 1096.69
iteration 540 performed, best fitness : 1096.45
iteration 541 performed, best fitness : 1096.57
iteration 542 performed, best fitness : 1096.44
iteration 543 performed, best fitness : 1096.33
