iteration 309 performed, best fitness : 1383.71
iteration 310 performed, best fitness : 1383.62
iteration 311 performed, best fitness : 1382.63
iteration 312 performed, best fitness : 1383.22
iteration 313 performed, best fitness : 1382.72
iteration 314 performed, best fitness : 1383.08
iteration 315 performed, best fitness : 1384.11
iteration 316 performed, best fitness : 1383.43
iteration 317 performed, best fitness : 1383.86
iteration 318 performed, best fitness : 1383.26
iteration 319 performed, best fitness : 1383.01
iteration 320 performed, best fitness : 1383.74
iteration 321 performed, best fitness : 1382.86
iteration 322 performed, best fitness : 1384.47
iteration 323 performed, best fitness : 1383.84
iteration 324 performed, best fitness : 1384.2
iteration 325 performed, best fitness : 1383.21
iteration 326 performed, best fitness : 1384.75
iteration 327 performed, best fitness : 1383.37
iteration 328 performed, best fitness : 1384.23
iteration 329 performed, best fitness : 1384.13
iteration 330 performed, best fitness : 1384.11
iteration 331 performed, best fitness : 1383.77
iteration 332 performed, best fitness : 1384.69
iteration 333 performed, best fitness : 1384.12
iteration 334 performed, best fitness : 1384.52
iteration 335 performed, best fitness : 1384.41
iteration 336 performed, best fitness : 1385.82
iteration 337 performed, best fitness : 1386.02
iteration 338 performed, best fitness : 1383.76
iteration 339 performed, best fitness : 1384.71
iteration 340 performed, best fitness : 1386.83
iteration 341 performed, best fitness : 1386.4
iteration 342 performed, best fitness : 1386.41
iteration 343 performed, best fitness : 1385.81
iteration 344 performed, best fitness : 1385.49
iteration 345 performed, best fitness : 1386.21
iteration 346 performed, best fitness : 1385.49
iteration 347 performed, best fitness : 1386.34
iteration 348 performed, best fitness : 1386.99
iteration 349 performed, best fitness : 1386.05
iteration 350 performed, best fitness : 1386.76
iteration 351 performed, best fitness : 1386.71
iteration 352 performed, best fitness : 1386.82
iteration 353 performed, best fitness : 1387.08
iteration 354 performed, best fitness : 1387.78
iteration 355 performed, best fitness : 1386.49
iteration 356 performed, best fitness : 1386.68
iteration 357 performed, best fitness : 1388.73
iteration 358 performed, best fitness : 1388.05
iteration 359 performed, best fitness : 1387.08
iteration 360 performed, best fitness : 1386.81
iteration 361 performed, best fitness : 1387.26
iteration 362 performed, best fitness : 1387.45
iteration 363 performed, best fitness : 1386.95
