iteration 270 performed, best fitness : 558.218
iteration 271 performed, best fitness : 649.879
iteration 272 performed, best fitness : 621.793
iteration 273 performed, best fitness : 606.325
iteration 274 performed, best fitness : 686.369
iteration 275 performed, best fitness : 570.721
iteration 276 performed, best fitness : 622.947
iteration 277 performed, best fitness : 770.257
iteration 278 performed, best fitness : 664.214
iteration 279 performed, best fitness : 725.593
iteration 280 performed, best fitness : 737.723
iteration 281 performed, best fitness : 700.859
iteration 282 performed, best fitness : 660.671
iteration 283 performed, best fitness : 705.825
iteration 284 performed, best fitness : 685.585
iteration 285 performed, best fitness : 725.384
iteration 286 performed, best fitness : 702.954
iteration 287 performed, best fitness : 660.425
iteration 288 performed, best fitness : 737.425
iteration 289 performed, best fitness : 629.416
iteration 290 performed, best fitness : 652.853
iteration 291 performed, best fitness : 680.905
iteration 292 performed, best fitness : 619.992
iteration 293 performed, best fitness : 656.473
iteration 294 performed, best fitness : 687.534
iteration 295 performed, best fitness : 749.912
iteration 296 performed, best fitness : 728.812
iteration 297 performed, best fitness : 700.8
iteration 298 performed, best fitness : 688.56
iteration 299 performed, best fitness : 578.201
iteration 300 performed, best fitness : 632.758
iteration 301 performed, best fitness : 687.22
iteration 302 performed, best fitness : 769.783
iteration 303 performed, best fitness : 639.165
iteration 304 performed, best fitness : 596.692
iteration 305 performed, best fitness : 672.745
iteration 306 performed, best fitness : 617.131
iteration 307 performed, best fitness : 611.542
iteration 308 performed, best fitness : 632.056
iteration 309 performed, best fitness : 677.16
iteration 310 performed, best fitness : 670.019
iteration 311 performed, best fitness : 622.978
iteration 312 performed, best fitness : 610.787
iteration 313 performed, best fitness : 627.421
iteration 314 performed, best fitness : 794.415
iteration 315 performed, best fitness : 790.815
iteration 316 performed, best fitness : 694.179
iteration 317 performed, best fitness : 732.132
iteration 318 performed, best fitness : 625.568
iteration 319 performed, best fitness : 642.049
iteration 320 performed, best fitness : 685.607
iteration 321 performed, best fitness : 738.015
iteration 322 performed, best fitness : 798.172
iteration 323 performed, best fitness : 623.675
iteration 324 performed, best fitness : 614.429
iteration 325 performed, best fitness : 616.428
iteration 326 performed, best fitness : 695.786
iteration 327 performed, best fitness : 631.382
iteration 328 performed, best fitness : 622.327
iteration 329 performed, best fitness : 708.988
iteration 330 performed, best fitness : 674.418
iteration 331 performed, best fitness : 708.925
iteration 332 performed, best fitness : 660.157
iteration 333 performed, best fitness : 727.775
iteration 334 performed, best fitness : 732.046
iteration 335 performed, best fitness : 760.892
iteration 336 performed, best fitness : 859.992
iteration 337 performed, best fitness : 604.365
iteration 338 performed, best fitness : 812.468
iteration 339 performed, best fitness : 717.773
iteration 340 performed, best fitness : 648.556
iteration 341 performed, best fitness : 718.624
iteration 342 performed, best fitness : 635.602
iteration 343 performed, best fitness : 609.382
iteration 344 performed, best fitness : 665.445
iteration 345 performed, best fitness : 670.074
iteration 346 performed, best fitness : 673.379
iteration 347 performed, best fitness : 629.226
iteration 348 performed, best fitness : 675.764
iteration 349 performed, best fitness : 605.536
iteration 350 performed, best fitness : 760.764
iteration 351 performed, best fitness : 670.054
iteration 352 performed, best fitness : 653.282
iteration 353 performed, best fitness : nan
iteration 354 performed, best fitness : 661.065
iteration 355 performed, best fitness : 651.002
iteration 356 performed, best fitness : 657.105
iteration 357 performed, best fitness : 686.631
iteration 358 performed, best fitness : 647.163
iteration 359 performed, best fitness : 731.019
iteration 360 performed, best fitness : 692.174
iteration 361 performed, best fitness : 780.58
iteration 362 performed, best fitness : 643.822
iteration 363 performed, best fitness : 641.616
iteration 364 performed, best fitness : 650.644
iteration 365 performed, best fitness : 600.542
iteration 366 performed, best fitness : 672.633
iteration 367 performed, best fitness : 613.709
iteration 368 performed, best fitness : 679.953
iteration 369 performed, best fitness : 679.229
iteration 370 performed, best fitness : 653.758
iteration 371 performed, best fitness : 703.157
iteration 372 performed, best fitness : 625.532
iteration 373 performed, best fitness : 659.76
iteration 374 performed, best fitness : 685.276
iteration 375 performed, best fitness : 716.314
iteration 376 performed, best fitness : 671.725
iteration 377 performed, best fitness : 634.463
iteration 378 performed, best fitness : 675.328
iteration 379 performed, best fitness : 706.068
iteration 380 performed, best fitness : 663.064
iteration 381 performed, best fitness : 594.779
iteration 382 performed, best fitness : 615.143
iteration 383 performed, best fitness : 656.19
iteration 384 performed, best fitness : 596.725
iteration 385 performed, best fitness : 636.583
iteration 386 performed, best fitness : 648.946
iteration 387 performed, best fitness : 632.856
iteration 388 performed, best fitness : 662.579
iteration 389 performed, best fitness : 703.596
